Day,Month,Year,Site,Pig,Fence,Duration,Biomass,Obs1_tot,Obs1_rate,Obs2_tot,Obs2_rate,Obs3_tot,Obs3_rate,Obs4_tot,Obs4_rate,SUMrate,NumObs,AVGrate
13,July,2016,1,Y,F,1440,55,29,0.020138889,44,0.030555556,NA,NA,NA,NA,0.050694444,2,0.025347222
13,July,2016,2,Y,F,1440,130,68,0.047222222,102,0.070833333,NA,NA,NA,NA,0.118055556,2,0.059027778
13,July,2016,3,Y,F,1440,400,128,0.088888889,112,0.077777778,NA,NA,NA,NA,0.166666667,2,0.083333333
13,July,2016,4,Y,F,1440,800,263,0.182638889,207,0.14375,NA,NA,NA,NA,0.326388889,2,0.163194444
13,July,2016,5,Y,F,1440,1600,294,0.204166667,251,0.174305556,NA,NA,NA,NA,0.378472222,2,0.189236111
13,July,2016,1,Y,O,1440,55,36,0.025,27,0.01875,NA,NA,NA,NA,0.04375,2,0.021875
13,July,2016,2,Y,O,1440,130,21,0.014583333,80,0.055555556,NA,NA,NA,NA,0.070138889,2,0.035069444
13,July,2016,3,Y,O,1440,400,66,0.045833333,96,0.066666667,NA,NA,NA,NA,0.1125,2,0.05625
13,July,2016,4,Y,O,1440,800,177,0.122916667,147,0.102083333,NA,NA,NA,NA,0.225,2,0.1125
13,July,2016,5,Y,O,1440,1600,214,0.148611111,216,0.15,NA,NA,NA,NA,0.298611111,2,0.149305556
20,July,2016,1,Y,F,104,55,8,0.076923077,15,0.144230769,16,0.153846154,NA,NA,0.375,3,0.125
20,July,2016,2,Y,F,122,130,16,0.131147541,66,0.540983607,103,0.844262295,NA,NA,1.516393443,3,0.505464481
20,July,2016,3,Y,F,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
20,July,2016,4,Y,F,105,800,150,1.428571429,69,0.657142857,129,1.228571429,NA,NA,3.314285714,3,1.104761905
20,July,2016,5,Y,F,115,1600,147,1.27826087,212,1.843478261,352,3.060869565,NA,NA,6.182608696,3,2.060869565
20,July,2016,1,Y,O,101,55,30,0.297029703,20,0.198019802,57,0.564356436,NA,NA,1.059405941,3,0.353135314
20,July,2016,2,Y,O,124,130,53,0.427419355,7,0.056451613,156,1.258064516,NA,NA,1.741935484,3,0.580645161
20,July,2016,3,Y,O,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
20,July,2016,4,Y,O,103,800,87,0.844660194,86,0.834951456,84,0.815533981,NA,NA,2.495145631,3,0.83171521
20,July,2016,5,Y,O,108,1600,105,0.972222222,56,0.518518519,97,0.898148148,NA,NA,2.388888889,3,0.796296296
24,July,2016,1,Y,F,90,55,13,0.144444444,2,0.022222222,27,0.3,NA,NA,0.466666667,3,0.155555556
24,July,2016,2,Y,F,90,130,27,0.3,8,0.088888889,44,0.488888889,NA,NA,0.877777778,3,0.292592593
24,July,2016,3,Y,F,90,400,36,0.4,28,0.311111111,61,0.677777778,NA,NA,1.388888889,3,0.462962963
24,July,2016,4,Y,F,90,800,59,0.655555556,124,1.377777778,110,1.222222222,NA,NA,3.255555556,3,1.085185185
24,July,2016,5,Y,F,90,1600,94,1.044444444,187,2.077777778,198,2.2,NA,NA,5.322222222,3,1.774074074
24,July,2016,1,Y,O,90,55,0,0,15,0.166666667,3,0.033333333,NA,NA,0.2,3,0.066666667
24,July,2016,2,Y,O,90,130,19,0.211111111,39,0.433333333,7,0.077777778,NA,NA,0.722222222,3,0.240740741
24,July,2016,3,Y,O,90,400,17,0.188888889,2,0.022222222,37,0.411111111,NA,NA,0.622222222,3,0.207407407
24,July,2016,4,Y,O,90,800,44,0.488888889,31,0.344444444,87,0.966666667,NA,NA,1.8,3,0.6
24,July,2016,5,Y,O,90,1600,114,1.266666667,57,0.633333333,62,0.688888889,NA,NA,2.588888889,3,0.862962963
31,July,2016,1,Y,F,90,55,14,0.155555556,0,0,19,0.211111111,3,0.033333333,0.4,4,0.1
31,July,2016,2,Y,F,90,130,17,0.188888889,2,0.022222222,18,0.2,13,0.144444444,0.555555556,4,0.138888889
31,July,2016,3,Y,F,90,400,4,0.044444444,16,0.177777778,17,0.188888889,35,0.388888889,0.8,4,0.2
31,July,2016,4,Y,F,90,800,89,0.988888889,67,0.744444444,47,0.522222222,103,1.144444444,3.4,4,0.85
31,July,2016,5,Y,F,90,1600,157,1.744444444,130,1.444444444,84,0.933333333,112,1.244444444,5.366666667,4,1.341666667
31,July,2016,1,Y,O,90,55,3,0.033333333,23,0.255555556,0,0,2,0.022222222,0.311111111,4,0.077777778
31,July,2016,2,Y,O,90,130,0,0,11,0.122222222,3,0.033333333,15,0.166666667,0.322222222,4,0.080555556
31,July,2016,3,Y,O,90,400,14,0.155555556,0,0,2,0.022222222,31,0.344444444,0.522222222,4,0.130555556
31,July,2016,4,Y,O,90,800,19,0.211111111,29,0.322222222,59,0.655555556,48,0.533333333,1.722222222,4,0.430555556
31,July,2016,5,Y,O,90,1600,74,0.822222222,112,1.244444444,23,0.255555556,126,1.4,3.722222222,4,0.930555556
4,August,2016,1,Y,F,170,55,4,0.023529412,8,0.047058824,9,0.052941176,17,0.1,0.223529412,4,0.055882353
4,August,2016,2,Y,F,150,130,4,0.026666667,2,0.013333333,7,0.046666667,3,0.02,0.106666667,4,0.026666667
4,August,2016,3,Y,F,165,400,10,0.060606061,12,0.072727273,3,0.018181818,5,0.03030303,0.181818182,4,0.045454545
4,August,2016,4,Y,F,65,800,56,0.861538462,47,0.723076923,18,0.276923077,34,0.523076923,2.384615385,4,0.596153846
4,August,2016,5,Y,F,124,1600,12,0.096774194,0,0,65,0.524193548,4,0.032258065,0.653225806,4,0.163306452
4,August,2016,1,Y,O,124,55,15,0.120967742,9,0.072580645,32,0.258064516,10,0.080645161,0.532258065,4,0.133064516
4,August,2016,2,Y,O,139,130,12,0.086330935,4,0.028776978,5,0.035971223,4,0.028776978,0.179856115,4,0.044964029
4,August,2016,3,Y,O,29,400,14,0.482758621,8,0.275862069,13,0.448275862,10,0.344827586,1.551724138,4,0.387931034
4,August,2016,4,Y,O,167,800,28,0.167664671,27,0.161676647,49,0.293413174,14,0.083832335,0.706586826,4,0.176646707
4,August,2016,5,Y,O,146,1600,33,0.226027397,65,0.445205479,37,0.253424658,28,0.191780822,1.116438356,4,0.279109589